filename,extracted,saved
capture_2023-02-13_22:39:09.pcap,True,False
capture_2023-02-13_22:39:31.pcap,True,False
capture_2023-02-13_22:39:54.pcap,True,False
capture_2023-02-13_22:40:11.pcap,True,False
capture_2023-02-13_22:40:26.pcap,True,False
capture_2023-02-13_22:40:28.pcap,True,False
capture_2023-02-13_22:40:29.pcap,True,False
capture_2023-02-13_22:40:31.pcap,True,False
capture_2023-02-13_22:40:39.pcap,True,False
capture_2023-02-13_22:40:43.pcap,True,False
capture_2023-02-13_22:41:00.pcap,True,False
capture_2023-02-13_22:41:21.pcap,True,False
capture_2023-02-13_22:41:43.pcap,True,False
capture_2023-02-13_22:42:04.pcap,True,False
capture_2023-02-13_22:42:26.pcap,True,False
capture_2023-02-13_22:42:28.pcap,True,False
capture_2023-02-13_22:42:33.pcap,True,False
capture_2023-02-13_22:42:49.pcap,True,False
capture_2023-02-13_22:42:51.pcap,True,False
capture_2023-02-13_22:42:56.pcap,True,False
capture_2023-02-13_22:43:14.pcap,True,False
capture_2023-02-13_22:43:38.pcap,True,False
capture_2023-02-13_22:43:59.pcap,True,False
capture_2023-02-13_22:44:20.pcap,True,False
capture_2023-02-13_22:44:30.pcap,True,False
capture_2023-02-13_22:44:34.pcap,True,False
capture_2023-02-13_22:44:55.pcap,True,False
capture_2023-02-14_10:37:15.pcap,True,False
